Designator,Val,Package,Mid X,Mid Y,Rotation,Layer
C2,100nf,C_0805_2012Metric_Pad1.18x1.45mm_HandSolder,74.168,-30.734,-90.0,top
C3,100nf,C_0805_2012Metric_Pad1.18x1.45mm_HandSolder,86.8895,-52.324,0.0,top
C4,100nf,C_0805_2012Metric_Pad1.18x1.45mm_HandSolder,55.88,-104.14,0.0,top
C5,100nf,C_0805_2012Metric_Pad1.18x1.45mm_HandSolder,51.054,-88.9,180.0,top
C6,100nf,C_0805_2012Metric_Pad1.18x1.45mm_HandSolder,81.28,-90.17,180.0,top
C7,100nf,C_0805_2012Metric_Pad1.18x1.45mm_HandSolder,86.614,-105.918,0.0,top
C8,100nf,C_0805_2012Metric_Pad1.18x1.45mm_HandSolder,57.912,-51.308,0.0,top
C9,100nf,C_0805_2012Metric_Pad1.18x1.45mm_HandSolder,51.308,-36.322,180.0,top
R1,100R,R_0201_0603Metric,90.104,-27.432,0.0,top
R2,100R,R_0201_0603Metric,90.104,-29.182,0.0,top
R3,100R,R_0201_0603Metric,90.104,-30.932,0.0,top
R4,100R,R_0201_0603Metric,90.104,-32.682,0.0,top
R5,100R,R_0201_0603Metric,90.104,-34.432,0.0,top
R6,100R,R_0201_0603Metric,90.104,-36.182,0.0,top
R7,100R,R_0201_0603Metric,90.104,-37.932,0.0,top
R8,100R,R_0201_0603Metric,90.104,-39.682,0.0,top
R9,100R,R_0201_0603Metric,89.7815,-80.6474,0.0,top
R10,100R,R_0201_0603Metric,89.7815,-82.3974,0.0,top
R11,100R,R_0201_0603Metric,89.7815,-84.1474,0.0,top
R12,100R,R_0201_0603Metric,89.7815,-85.8974,0.0,top
R13,100R,R_0201_0603Metric,89.7815,-87.6474,0.0,top
R14,100R,R_0201_0603Metric,89.7815,-89.3974,0.0,top
R15,100R,R_0201_0603Metric,89.7815,-91.1474,0.0,top
R16,100R,R_0201_0603Metric,89.7815,-92.8974,0.0,top
R17,100R,R_0201_0603Metric,48.2575,-114.341,180.0,top
R18,100R,R_0201_0603Metric,48.2575,-112.591,180.0,top
R19,100R,R_0201_0603Metric,48.2575,-110.841,180.0,top
R20,100R,R_0201_0603Metric,48.2575,-109.091,180.0,top
R21,100R,R_0201_0603Metric,48.2575,-107.341,180.0,top
R22,100R,R_0201_0603Metric,48.2575,-105.591,180.0,top
R23,100R,R_0201_0603Metric,48.2575,-103.841,180.0,top
R24,100R,R_0201_0603Metric,48.2575,-102.091,180.0,top
R25,100R,R_0201_0603Metric,48.58,-61.1256,180.0,top
R26,100R,R_0201_0603Metric,48.58,-59.3756,180.0,top
R27,100R,R_0201_0603Metric,48.58,-57.6256,180.0,top
R28,100R,R_0201_0603Metric,48.58,-55.8756,180.0,top
R29,100R,R_0201_0603Metric,48.58,-54.1256,180.0,top
R30,100R,R_0201_0603Metric,48.58,-52.3756,180.0,top
R31,100R,R_0201_0603Metric,48.58,-50.6256,180.0,top
R32,100R,R_0201_0603Metric,48.58,-48.8756,180.0,top
U2,74AHCT595,TSSOP-16_4.4x5mm_P0.65mm,87.5615,-57.191,180.0,top
U3,74HCT245,TSSOP-20_4.4x6.5mm_P0.65mm,81.788,-32.258,0.0,top
U4,74AHCT595,TSSOP-16_4.4x5mm_P0.65mm,87.239,-110.4064,180.0,top
U5,74HCT245,TSSOP-20_4.4x6.5mm_P0.65mm,81.4655,-85.4734,0.0,top
U6,74AHCT595,TSSOP-16_4.4x5mm_P0.65mm,50.8,-84.582,0.0,top
U7,74HCT245,TSSOP-20_4.4x6.5mm_P0.65mm,56.5735,-109.515,180.0,top
U8,74AHCT595,TSSOP-16_4.4x5mm_P0.65mm,51.1225,-31.3666,0.0,top
U9,74HCT245,TSSOP-20_4.4x6.5mm_P0.65mm,56.896,-56.2996,180.0,top
